ID,Name,Frame,Ex,Var,Min,Max,Dif,Neg
1277,NSP.BAT.SER,DA,22.3700444371,120.555571382,9.06942725477,39.1922317314,30.1228044766,4.12422646478
1278,NSP.BAYFRN4,DA,38.7422742998,372.005805871,17.4284390568,67.9033676519,50.4749285952,0.521952839588
1279,NSP.BAYFRN5,DA,38.7308124377,371.856491013,17.4392793092,67.8755895051,50.4363101959,0.520458319495
1280,NSP.BAYFRN6,DA,38.7264640762,371.768825029,17.4373231485,67.8679375623,50.4306144138,0.520538027233
1281,NSP.BE,DA,39.5429786303,448.604687379,14.5818597561,72.4668868564,57.8850271003,9.56085704607
1282,NSP.BELW_1.AZ,DA,34.4179745968,347.098780129,11.9487928605,63.0272522311,51.0784593706,13.2567637388
1283,NSP.BIGBLUE,DA,29.8494555932,322.575466676,7.10335589942,57.8331818182,50.7298259188,25.174729207
1284,NSP.BIGFALL_A,DA,40.8540483505,413.246907456,18.4091996015,71.5776851544,53.168485553,0.127183659914
1285,NSP.BLKBROOK,DA,39.8138208513,399.545998601,17.5435204251,70.1536233809,52.6101029558,0.0775821986051
1286,NSP.BLKDO2,DA,35.7985068637,325.083854034,15.6075988044,63.4177781468,47.8101793424,0.126545998007
1287,NSP.BLKDO3,DA,35.8031373851,326.753408668,15.5578977084,63.4600232481,47.9021255397,0.132660245766
1288,NSP.BLKDO4,DA,35.789144664,326.146657694,15.5605347061,63.4275821986,47.8670474925,0.132447691797
1289,NSP.BLKDO5,DA,35.7952398151,325.019121535,15.6066389904,63.4104749253,47.8038359349,0.126545998007
1290,NSP.BLUEL1,DA,35.6418486383,321.658220259,15.5636200598,63.1397210229,47.5761009631,0.118601793424
1291,NSP.BLUEL2,DA,35.6416063323,321.641489015,15.5636167386,63.1389040186,47.57528728,0.118601793424
1292,NSP.BLUEL3,DA,35.6425078877,321.667813323,15.5643772833,63.1402025905,47.5758253072,0.118601793424
1293,NSP.BLUEL4,DA,35.6416391288,321.641814055,15.5641115908,63.1385453338,47.5744337429,0.118601793424
1294,NSP.BLUE_LK7,DA,35.6372415034,321.534760306,15.5637794753,63.1292427765,47.5654633012,0.118601793424
1295,NSP.BLUE_LK8,DA,35.6367448522,321.477105648,15.5637661906,63.1285154434,47.5647492527,0.118601793424
1296,NSP.BUFFR_TR1,DA,30.4006687977,263.145360928,11.9798239787,54.6246861508,42.644862172,4.8101727001
1297,NSP.BUFFR_TR2,DA,30.4073249474,261.874960032,12.0769279309,54.6246861508,42.5477582199,4.67379608104
1298,NSP.CANFLSG1,DA,32.4120202566,224.044476908,14.9639143599,55.6796453287,40.7157309689,0.160073529412
1299,NSP.CANFLSG2,DA,32.4120098039,224.038560994,14.9639273356,55.6798183391,40.7158910035,0.160060553633
1300,NSP.CC.BLKD52,DA,35.7971101793,325.056291469,15.6072035868,63.4145167718,47.807313185,0.126549319163
1301,NSP.CC.HIBRDG1,DA,28.6642865325,143.274205033,13.8132596956,48.2061512027,34.3928915071,0.275861561119
1302,NSP.CC.HIBRDG2,DA,28.6706412617,143.244236626,13.819317624,48.2127491409,34.3934315169,0.276038291605
1303,NSP.CC.MANKATO,DA,35.9969030223,318.234606215,15.7324809034,63.4964563268,47.7639754234,0.277781467951
1304,NSP.CC.RIVRSD1,DA,27.6478257453,128.421270988,13.423512931,45.9925269397,32.5690140086,0.259935344828
1305,NSP.CC.RIVRSD2,DA,27.6490550916,128.420370394,13.4246659483,45.9931303879,32.5684644397,0.26010237069
1306,NSP.CEDARFAL,DA,38.8033893778,381.852682293,17.0614048489,68.5497841249,51.488379276,0.0823347725008
1307,NSP.CHARA_TR1,DA,30.03320879,273.861664901,11.0993025573,54.7428860844,43.6435835271,10.7469013617
